嘉義縣警察局道路交通事故原因及損傷                                              ,,,,,,,,,
108年1月01日至108年1月31日,,,,,,,,,
 發    生,肇      事      原      因      ( 件 ),,,,,,死  傷  人  數  ( 人 ),,
,總       計, 汽(機、 慢)車駕 駛人,機       件, 行人(或乘客 ), 交通管制(設施 ),其       他,總       計,死       亡,受       傷
 地 區 別,,,,,,,,,
,,,,,,,,,
總    計,390,381,2,5, - ,2,506,8,498
中埔分局,48,48, - , - , - , - ,62,1,61
布袋分局,18,18, - , - , - , - ,23, - ,23
朴子分局,44,43,1, - , - , - ,57,1,56
水上分局,105,103, - ,1, - ,1,141,4,137
民雄分局,158,153,1,3, - ,1,201,2,199
竹崎分局,17,16, - ,1, - , - ,22, - ,22
